symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,pnl_pct,reason
DOTUSDT,LONG,2026-01-05 12:00:00,2.1932,2026-01-06 16:00:00,2.114492698310071,190.5,-14.993740971931498,-3.5886969583225024,STOPLOSS
BTCUSDT,LONG,2026-01-06 20:00:00,93714.6,2026-01-07 08:00:00,91921.96151156299,0.008,-14.341107907496161,-1.9128700207193114,STOPLOSS
LINKUSDT,LONG,2026-01-05 12:00:00,13.716,2026-01-07 12:00:00,13.341538430085292,40.0,-14.978462796588303,-2.7301076838342637,STOPLOSS
ETHUSDT,LONG,2026-01-05 12:00:00,3194.54,2026-01-07 16:00:00,3129.0814153871083,0.22,-14.400888614836157,-2.0490770067957085,STOPLOSS
ADAUSDT,LONG,2026-01-05 12:00:00,0.4125,2026-01-07 20:00:00,0.3974057790142474,993.0,-14.988561438852313,-3.6592050874551716,STOPLOSS
SOLUSDT,LONG,2026-01-09 00:00:00,140.74,2026-01-09 16:00:00,135.88011081337834,2.8000000000000003,-13.607689722540682,-3.4530973331118884,STOPLOSS
LTCUSDT,LONG,2026-01-09 20:00:00,81.46,2026-01-11 20:00:00,79.45021799075059,6.8100000000000005,-13.686615482988456,-2.4672010916393394,STOPLOSS
AVAXUSDT,LONG,2026-01-09 00:00:00,13.979,2026-01-12 12:00:00,13.465162967685982,27.0,-13.873599872478456,-3.6757781838043986,STOPLOSS
ATOMUSDT,LONG,2026-01-12 00:00:00,2.609,2026-01-12 20:00:00,2.4949729247721546,118.2,-13.478000291931325,-4.3705279888020465,STOPLOSS
BTCUSDT,LONG,2026-01-09 00:00:00,91197.0,2026-01-13 20:00:00,96078.62154711674,0.007,34.171350829817165,5.352831285148347,TAKEPROFIT
BNBUSDT,LONG,2026-01-09 00:00:00,895.1,2026-01-13 20:00:00,945.7964677999995,0.72,36.501456815999624,5.663776985811583,TAKEPROFIT
ATOMUSDT,LONG,2026-01-14 00:00:00,2.645,2026-01-15 00:00:00,2.5343172018179487,127.7,-14.13419332784795,-4.184604846202317,STOPLOSS
AAVEUSDT,LONG,2026-01-14 00:00:00,178.5,2026-01-15 00:00:00,172.28467446375018,2.27,-14.108788967287095,-3.481975090336035,STOPLOSS
INJUSDT,LONG,2026-01-14 00:00:00,5.654,2026-01-15 00:00:00,5.375980931634263,50.800000000000004,-14.123368672979423,-4.917210264692901,STOPLOSS
SOLUSDT,LONG,2026-01-14 00:00:00,146.21,2026-01-15 16:00:00,141.33223268024068,2.8000000000000003,-13.657748495326121,-3.3361379657747956,STOPLOSS
BTCUSDT,LONG,2026-01-16 20:00:00,95504.9,2026-01-18 20:00:00,93684.54340813696,0.007,-12.742496143041237,-1.9060347603767285,STOPLOSS
SOLUSDT,LONG,2026-01-16 20:00:00,144.86,2026-01-18 20:00:00,140.30904467287309,2.9000000000000004,-13.197770448668093,-3.1416231721157857,STOPLOSS
ADAUSDT,LONG,2026-01-16 20:00:00,0.3953,2026-01-18 20:00:00,0.3785636403198897,794.0,-13.288669586007563,-4.233837510779226,STOPLOSS
ETHUSDT,LONG,2026-01-16 20:00:00,3294.65,2026-01-19 00:00:00,3205.626117693137,0.14,-12.463343522960823,-2.702074038421775,STOPLOSS
XRPUSDT,SHORT,2026-01-22 08:00:00,1.9426,2026-01-30 00:00:00,1.7189034751456664,184.0,41.160160573197395,11.515315806359192,TAKEPROFIT
UNIUSDT,SHORT,2026-01-22 04:00:00,4.925,2026-01-30 04:00:00,4.178642209870348,58.900000000000006,43.96047383863651,15.154472896033544,TAKEPROFIT
ATOMUSDT,SHORT,2026-01-20 04:00:00,2.414,2026-01-31 08:00:00,2.030961667613051,121.10000000000001,46.385942052059534,15.867370852814789,TAKEPROFIT
JUPUSDT,LONG,2026-01-30 08:00:00,0.20442,2026-01-31 12:00:00,0.19060625980064502,998.0,-13.786112718956257,-6.757528715074342,STOPLOSS
RENDERUSDT,SHORT,2026-01-21 16:00:00,2.0586,2026-01-31 16:00:00,1.4497210202852546,76.2,46.396578254263616,29.5773331251698,TAKEPROFIT
ETHUSDT,SHORT,2026-01-30 12:00:00,2727.32,2026-01-31 16:00:00,2428.3965592146305,0.1,29.892344078536965,10.960336182969714,TAKEPROFIT
ATOMUSDT,SHORT,2026-02-01 12:00:00,1.9129,2026-02-03 20:00:00,2.0366353884096924,124.60000000000001,-15.417429395847666,-6.468471347675902,STOPLOSS
ADAUSDT,SHORT,2026-02-01 12:00:00,0.2892,2026-02-06 00:00:00,0.22209405823833417,794.0,53.28211775876268,23.203990927270347,TAKEPROFIT
DOGEUSDT,SHORT,2026-02-04 04:00:00,0.1084,2026-02-06 00:00:00,0.08557141580843126,2602.0,59.39997606646184,21.059579512517278,TAKEPROFIT
ATOMUSDT,SHORT,2026-02-07 04:00:00,1.9482,2026-02-13 16:00:00,2.088891697652561,120.0,-16.883003718307315,-7.221624969333794,STOPLOSS
ARBUSDT,SHORT,2026-02-15 12:00:00,0.11506,2026-02-19 12:00:00,0.10066700787295488,3492.0,50.26032850764155,12.509118831083885,TAKEPROFIT
RENDERUSDT,LONG,2026-02-20 00:00:00,1.4283,2026-02-23 00:00:00,1.348413574241853,217.60000000000002,-17.38328624497276,-5.593112494444225,STOPLOSS
LTCUSDT,SHORT,2026-02-07 04:00:00,53.56,2026-02-25 12:00:00,57.40672891488112,4.39,-16.88713993632811,-7.182092820913216,STOPLOSS
NEARUSDT,SHORT,2026-02-23 12:00:00,0.9855,2026-02-25 12:00:00,1.0325881723704333,363.70000000000005,-17.125968291126586,-4.778099682438689,STOPLOSS
DOGEUSDT,SHORT,2026-02-26 20:00:00,0.09695,2026-03-04 16:00:00,0.10120857344858336,3902.0,-16.616953596372298,-4.3925461047791305,STOPLOSS
LDOUSDT,SHORT,2026-02-26 20:00:00,0.3121,2026-03-04 16:00:00,0.32638096371758235,1163.6000000000001,-16.617329381778838,-4.5757653692990585,STOPLOSS
UNIUSDT,LONG,2026-03-05 08:00:00,4.039,2026-03-06 12:00:00,3.841420707075045,81.5,-16.102712373383806,-4.891787396012743,STOPLOSS
DOTUSDT,LONG,2026-03-05 20:00:00,1.528,2026-03-07 16:00:00,1.4446248418972876,193.3,-16.11641806125432,-5.456489404627778,STOPLOSS
INJUSDT,SHORT,2026-03-08 00:00:00,2.803,2026-03-09 08:00:00,2.919045781377776,134.70000000000002,-15.631366751586429,-4.140056417330574,STOPLOSS
BNBUSDT,LONG,2026-03-10 00:00:00,639.3,2026-03-16 00:00:00,682.2139779303433,0.92,39.48085969591586,6.712651013662338,TAKEPROFIT
UNIUSDT,LONG,2026-03-10 00:00:00,3.896,2026-03-18 12:00:00,3.7233925937440144,89.2,-15.396580638033905,-4.430374903901065,STOPLOSS
SOLUSDT,LONG,2026-03-16 04:00:00,93.52,2026-03-18 12:00:00,90.4701045302389,5.2,-15.859456442757704,-3.2612227007710617,STOPLOSS
IMXUSDT,LONG,2026-03-18 16:00:00,0.17168,2026-03-19 12:00:00,0.1617881726430001,1569.0,-15.520277123132834,-5.761782011300031,STOPLOSS
APTUSDT,LONG,2026-03-18 20:00:00,0.9893,2026-03-19 12:00:00,0.9446798968123469,347.90000000000003,-15.523333898984509,-4.510270210012441,STOPLOSS
XRPUSDT,LONG,2026-03-20 20:00:00,1.4443,2026-03-21 20:00:00,1.4001911876953608,341.0,-15.041104995881948,-3.053992404946282,STOPLOSS
APTUSDT,SHORT,2026-03-23 04:00:00,0.9151,2026-03-23 08:00:00,0.9634886018833237,306.5,-14.831106477238722,-5.287793889555646,STOPLOSS
ADAUSDT,SHORT,2026-03-20 16:00:00,0.2638,2026-03-25 08:00:00,0.27412922513871035,1457.0,-15.049681027101014,-3.9155516067893763,STOPLOSS
AVAXUSDT,SHORT,2026-03-26 16:00:00,9.006,2026-04-01 04:00:00,9.341339675671266,42.800000000000004,-14.35253811873018,-3.7235140536449682,STOPLOSS
SOLUSDT,SHORT,2026-04-01 08:00:00,83.31,2026-04-01 16:00:00,86.11818470610494,5.0,-14.040923530524694,-3.3707654616551896,STOPLOSS
DOTUSDT,SHORT,2026-04-01 20:00:00,1.2549,2026-04-06 08:00:00,1.2986885029576456,318.70000000000005,-13.955395892601684,-3.4894017816276754,STOPLOSS
BTCUSDT,LONG,2026-04-07 16:00:00,68976.5,2026-04-09 20:00:00,72961.92204262134,0.008,31.883376340970745,5.777941824565385,TAKEPROFIT
ATOMUSDT,LONG,2026-04-10 00:00:00,1.8156,2026-04-11 12:00:00,1.7656357732490082,284.7,-14.224815356007388,-2.751940226426078,STOPLOSS
BTCUSDT,LONG,2026-04-11 16:00:00,73658.9,2026-04-12 00:00:00,72285.68666704601,0.01,-13.732133329539792,-1.8642870487530758,STOPLOSS
TIAUSDT,SHORT,2026-02-02 04:00:00,0.3589,2026-04-16 12:00:00,0.3899803081575069,496.40000000000003,-15.428264969386426,-8.659879676095542,STOPLOSS
XRPUSDT,SHORT,2026-03-24 00:00:00,1.4138,2026-04-16 16:00:00,1.4571970427833336,336.0,-14.581406375200114,-3.0695319552506493,STOPLOSS
GRTUSDT,LONG,2026-04-18 04:00:00,0.02632,2026-04-18 08:00:00,0.025500510971515677,16301.0,-13.358490653322935,-3.113560138618245,STOPLOSS
BNBUSDT,LONG,2026-04-17 20:00:00,642.9,2026-04-18 16:00:00,630.6751607403542,1.09,-13.325074793013943,-1.9015148949519083,STOPLOSS
BTCUSDT,LONG,2026-04-19 08:00:00,75564.6,2026-04-19 20:00:00,74025.79728086742,0.008,-12.310421753060655,-2.036406887792143,STOPLOSS
XRPUSDT,LONG,2026-04-19 08:00:00,1.4289,2026-04-19 20:00:00,1.3884507071756942,320.0,-12.943773703777879,-2.8307994138362282,STOPLOSS
IMXUSDT,LONG,2026-04-21 00:00:00,0.1677,2026-04-25 12:00:00,0.1869157507510832,1683.0,32.34010851407302,11.458408319071674,TAKEPROFIT
RUNEUSDT,LONG,2026-04-25 20:00:00,0.4819,2026-04-27 00:00:00,0.5275579444595405,757.6,34.5904587225479,9.474568263029782,TAKEPROFIT
XRPUSDT,LONG,2026-04-21 04:00:00,1.4386,2026-04-27 12:00:00,1.400317317593672,328.0,-12.556719829275597,-2.661106798715976,STOPLOSS
ATOMUSDT,LONG,2026-04-27 08:00:00,1.9812,2026-04-29 12:00:00,1.9303187759652083,266.90000000000003,-13.58019869488593,-2.5682023033914687,STOPLOSS
JUPUSDT,LONG,2026-04-27 16:00:00,0.19102,2026-04-29 12:00:00,0.18126490065507264,1373.0,-13.393751400585257,-5.106847107594678,STOPLOSS
