timestamp,open,high,low,close,volume
2025-06-16 03:15:00,2.9924,2.9994,2.991,2.9987,50393.5
2025-06-16 03:30:00,2.9987,2.9987,2.9945,2.9956,9472.7
2025-06-16 03:45:00,2.9956,2.9956,2.9896,2.9905,62812.1
2025-06-16 04:00:00,2.9905,2.9947,2.9888,2.9947,47822.3
2025-06-16 04:15:00,2.9947,3.0052,2.9927,2.9999,217166.4
2025-06-16 04:30:00,2.9999,3.0012,2.9968,2.998,30571.5
2025-06-16 04:45:00,2.998,3.0024,2.9954,3.0017,40982.2
2025-06-16 05:00:00,3.0017,3.0017,2.9938,2.9939,36246.8
2025-06-16 05:15:00,2.9939,3.0066,2.9939,3.0052,57533.9
2025-06-16 05:30:00,3.0052,3.0188,3.0041,3.0091,276701.0
2025-06-16 05:45:00,3.0091,3.0128,3.0054,3.0068,59407.5
2025-06-16 06:00:00,3.0068,3.0133,3.0038,3.0098,33667.6
2025-06-16 06:15:00,3.0098,3.0145,3.0094,3.0124,54456.0
2025-06-16 06:30:00,3.0124,3.0157,3.0114,3.0138,54612.0
2025-06-16 06:45:00,3.0138,3.0171,3.0127,3.0129,28300.2
2025-06-16 07:00:00,3.0129,3.0271,3.0129,3.0255,134892.8
2025-06-16 07:15:00,3.0255,3.028,3.0175,3.0241,70523.0
2025-06-16 07:30:00,3.0241,3.0294,3.023,3.0264,212921.2
2025-06-16 07:45:00,3.0264,3.032,3.0261,3.0282,62680.2
2025-06-16 08:00:00,3.0282,3.0312,3.0232,3.0234,68244.7
2025-06-16 08:15:00,3.0234,3.0239,3.0132,3.0152,68858.7
2025-06-16 08:30:00,3.0152,3.0198,3.0142,3.0168,62907.5
2025-06-16 08:45:00,3.0168,3.0193,3.0106,3.0132,187471.5
2025-06-16 09:00:00,3.0132,3.0133,3.0063,3.0092,58334.9
2025-06-16 09:15:00,3.0092,3.0111,3.0028,3.0038,74847.5
2025-06-16 09:30:00,3.0038,3.008,3.0011,3.0048,63791.5
2025-06-16 09:45:00,3.0048,3.0128,3.0012,3.0089,156789.8
2025-06-16 10:00:00,3.0089,3.016,3.0019,3.0043,360353.3
2025-06-16 10:15:00,3.0043,3.0073,2.9973,2.9991,69911.5
2025-06-16 10:30:00,2.9991,2.9991,2.9876,2.9905,200266.8
2025-06-16 10:45:00,2.9905,2.9905,2.9819,2.9862,123816.0
2025-06-16 11:00:00,2.9862,2.9906,2.9806,2.9906,130834.3
2025-06-16 11:15:00,2.9906,2.9955,2.9772,2.9796,154235.1
2025-06-16 11:30:00,2.9796,2.992,2.9791,2.9917,49264.8
2025-06-16 11:45:00,2.9917,2.9974,2.9915,2.993,83285.4
2025-06-16 12:00:00,2.993,2.9935,2.9829,2.9853,82601.0
2025-06-16 12:15:00,2.9853,2.987,2.9753,2.977,101174.3
2025-06-16 12:30:00,2.977,2.9936,2.9769,2.9901,201991.2
2025-06-16 12:45:00,2.9901,2.9928,2.9805,2.9808,131700.2
2025-06-16 13:00:00,2.9808,2.9872,2.9798,2.9826,48855.6
2025-06-16 13:15:00,2.9826,2.9852,2.9784,2.981,45084.2
2025-06-16 13:30:00,2.981,2.9894,2.9795,2.9884,126620.6
2025-06-16 13:45:00,2.9884,3.0036,2.9792,2.9966,205148.2
2025-06-16 14:00:00,2.9966,3.0122,2.9952,3.0033,175067.8
2025-06-16 14:15:00,3.0033,3.0137,3.0,3.0098,60606.7
2025-06-16 14:30:00,3.0098,3.0233,3.0082,3.01,452389.1
2025-06-16 14:45:00,3.01,3.019,3.0075,3.0146,137125.7
2025-06-16 15:00:00,3.0146,3.0206,3.0126,3.0154,138526.4
2025-06-16 15:15:00,3.0154,3.0195,3.0132,3.0146,106687.8
2025-06-16 15:30:00,3.0146,3.0195,3.0123,3.0181,95570.6
2025-06-16 15:45:00,3.0181,3.0221,3.0048,3.0082,101798.2
2025-06-16 16:00:00,3.0082,3.0207,3.0076,3.0207,79751.7
2025-06-16 16:15:00,3.0207,3.0229,3.0159,3.0162,61117.9
2025-06-16 16:30:00,3.0162,3.0242,3.0158,3.0194,64764.7
2025-06-16 16:45:00,3.0194,3.0244,3.0148,3.0232,46747.8
2025-06-16 17:00:00,3.0232,3.0282,3.0195,3.0214,53411.3
2025-06-16 17:15:00,3.0214,3.0261,3.0189,3.0213,33625.7
2025-06-16 17:30:00,3.0213,3.0289,3.0213,3.0234,233716.9
2025-06-16 17:45:00,3.0234,3.0287,3.0219,3.0234,44181.4
2025-06-16 18:00:00,3.0234,3.024,3.0154,3.0198,67515.0
2025-06-16 18:15:00,3.0198,3.0336,3.0186,3.0335,98186.1
2025-06-16 18:30:00,3.0335,3.0404,3.0293,3.0294,115805.8
2025-06-16 18:45:00,3.0294,3.0345,3.025,3.0345,110163.1
2025-06-16 19:00:00,3.0345,3.0381,3.03,3.033,118943.0
2025-06-16 19:15:00,3.033,3.0384,3.029,3.0367,53538.8
2025-06-16 19:30:00,3.0367,3.0369,3.0282,3.0293,145741.0
2025-06-16 19:45:00,3.0293,3.0301,3.0221,3.028,104664.2
2025-06-16 20:00:00,3.028,3.028,3.02,3.0258,92714.4
2025-06-16 20:15:00,3.0258,3.0294,3.0231,3.0277,44193.6
2025-06-16 20:30:00,3.0277,3.045,3.0265,3.0421,366513.8
2025-06-16 20:45:00,3.0421,3.0436,3.0352,3.0391,77341.9
2025-06-16 21:00:00,3.0391,3.0469,3.0391,3.043,111574.0
2025-06-16 21:15:00,3.043,3.046,3.0386,3.0454,26478.3
2025-06-16 21:30:00,3.0454,3.0456,3.0307,3.035,127283.8
2025-06-16 21:45:00,3.035,3.041,3.035,3.0398,29235.7
2025-06-16 22:00:00,3.0398,3.0447,3.0392,3.0424,46637.4
2025-06-16 22:15:00,3.0424,3.045,3.0372,3.0391,42556.5
2025-06-16 22:30:00,3.0391,3.0394,2.9825,2.9828,490090.4
2025-06-16 22:45:00,2.9828,2.9966,2.964,2.9875,561854.0
2025-06-16 23:00:00,2.9875,2.9991,2.9734,2.9964,194959.7
2025-06-16 23:15:00,2.9964,3.002,2.9857,2.9925,97850.6
2025-06-16 23:30:00,2.9925,2.9945,2.9826,2.9866,121225.6
2025-06-16 23:45:00,2.9866,2.9895,2.9554,2.9621,270219.1
2025-06-17 00:00:00,2.9621,2.9628,2.914,2.9181,818145.7
2025-06-17 00:15:00,2.9181,2.9607,2.9107,2.9592,360704.1
2025-06-17 00:30:00,2.9592,2.9619,2.9504,2.9519,142083.3
2025-06-17 00:45:00,2.9519,2.9795,2.9519,2.9785,73181.9
2025-06-17 01:00:00,2.9785,2.9815,2.9694,2.9766,51475.3
2025-06-17 01:15:00,2.9766,2.9814,2.9706,2.9736,55966.8
2025-06-17 01:30:00,2.9736,2.9874,2.9679,2.97,83523.7
2025-06-17 01:45:00,2.97,2.9717,2.9642,2.9662,23757.6
2025-06-17 02:00:00,2.9662,2.9679,2.9562,2.9612,129786.2
2025-06-17 02:15:00,2.9612,2.964,2.9544,2.9608,90902.7
2025-06-17 02:30:00,2.9608,2.9687,2.957,2.967,45779.3
2025-06-17 02:45:00,2.967,2.9864,2.9611,2.9833,163111.5
2025-06-17 03:00:00,2.9833,2.9949,2.9797,2.9888,186496.3
2025-06-17 03:15:00,2.9888,2.9895,2.9753,2.978,280239.7
2025-06-17 03:30:00,2.978,2.9873,2.978,2.9823,43417.5
2025-06-17 03:45:00,2.9823,2.9859,2.9796,2.9821,30774.6
2025-06-17 04:00:00,2.9821,2.9884,2.9817,2.9868,24070.2
2025-06-17 04:15:00,2.9868,2.9922,2.9826,2.9913,83843.7
2025-06-17 04:30:00,2.9913,2.9954,2.9857,2.9922,86988.9
2025-06-17 04:45:00,2.9922,2.9954,2.9903,2.9903,40730.1
2025-06-17 05:00:00,2.9903,2.9943,2.989,2.9929,20477.8
2025-06-17 05:15:00,2.9929,2.9933,2.9795,2.9854,47469.2
2025-06-17 05:30:00,2.9854,2.9872,2.9793,2.9803,24012.7
2025-06-17 05:45:00,2.9803,2.9848,2.9782,2.9831,115404.9
2025-06-17 06:00:00,2.9831,2.99,2.9794,2.9893,41136.9
2025-06-17 06:15:00,2.9893,2.9897,2.9788,2.9803,50986.0
2025-06-17 06:30:00,2.9803,2.9827,2.977,2.981,50252.6
2025-06-17 06:45:00,2.981,2.981,2.9717,2.9765,57451.7
2025-06-17 07:00:00,2.9765,2.9814,2.9757,2.9757,23048.3
2025-06-17 07:15:00,2.9757,2.9778,2.9698,2.971,43618.3
2025-06-17 07:30:00,2.971,2.9792,2.9704,2.9786,42921.4
2025-06-17 07:45:00,2.9786,2.9823,2.9752,2.9771,54922.7
2025-06-17 08:00:00,2.9771,2.9792,2.972,2.9752,22151.5
2025-06-17 08:15:00,2.9752,2.9788,2.9693,2.9784,76744.8
2025-06-17 08:30:00,2.9784,2.9808,2.9691,2.9764,91951.3
2025-06-17 08:45:00,2.9764,2.9834,2.9725,2.9743,81009.5
2025-06-17 09:00:00,2.9743,2.9752,2.9628,2.9691,107332.5
2025-06-17 09:15:00,2.9691,2.9768,2.9691,2.9722,44454.3
2025-06-17 09:30:00,2.9722,2.9766,2.9663,2.9716,47177.2
2025-06-17 09:45:00,2.9716,2.9763,2.9703,2.9733,49016.7
2025-06-17 10:00:00,2.9733,2.9752,2.9629,2.968,50836.0
2025-06-17 10:15:00,2.968,2.9705,2.962,2.9643,78668.6
2025-06-17 10:30:00,2.9643,2.9658,2.9502,2.9586,135895.7
2025-06-17 10:45:00,2.9586,2.9763,2.9569,2.9763,134902.8
2025-06-17 11:00:00,2.9763,2.9763,2.9649,2.9683,36789.9
2025-06-17 11:15:00,2.9683,2.9712,2.9606,2.9663,38581.9
2025-06-17 11:30:00,2.9663,2.971,2.9651,2.9653,30904.2
2025-06-17 11:45:00,2.9653,2.9694,2.9583,2.9687,69950.0
2025-06-17 12:00:00,2.9687,2.9771,2.9663,2.9762,49052.9
2025-06-17 12:15:00,2.9762,2.9795,2.9711,2.9795,52800.0
2025-06-17 12:30:00,2.9795,2.9937,2.977,2.9937,108864.9
2025-06-17 12:45:00,2.9937,2.9999,2.9886,2.9964,146462.3
2025-06-17 13:00:00,2.9964,3.0136,2.9943,3.0069,293725.4
2025-06-17 13:15:00,3.0069,3.0238,3.0017,3.0194,187209.9
2025-06-17 13:30:00,3.0194,3.022,2.9943,2.9974,312489.1
2025-06-17 13:45:00,2.9974,3.0123,2.9952,3.009,202753.8
2025-06-17 14:00:00,3.009,3.0177,2.9989,3.0,279604.8
2025-06-17 14:15:00,3.0,3.0066,2.9958,3.0013,96584.3
2025-06-17 14:30:00,3.0013,3.0074,2.9945,3.0019,94173.1
2025-06-17 14:45:00,3.0019,3.0137,2.9911,2.9947,187241.1
2025-06-17 15:00:00,2.9947,2.995,2.9598,2.9717,519962.9
2025-06-17 15:15:00,2.9717,2.9717,2.9524,2.9547,292103.1
2025-06-17 15:30:00,2.9547,2.9709,2.9408,2.9676,391030.8
2025-06-17 15:45:00,2.9676,2.9676,2.9532,2.9631,67717.2
2025-06-17 16:00:00,2.9631,2.9656,2.9514,2.9598,202351.5
2025-06-17 16:15:00,2.9598,2.9598,2.942,2.9452,179927.1
2025-06-17 16:30:00,2.9452,2.9481,2.9257,2.9391,241708.2
2025-06-17 16:45:00,2.9391,2.941,2.9161,2.9177,330892.3
2025-06-17 17:00:00,2.9177,2.9262,2.906,2.9113,315023.3
2025-06-17 17:15:00,2.9113,2.9425,2.9102,2.9417,295590.9
2025-06-17 17:30:00,2.9417,2.9521,2.9378,2.943,145526.9
2025-06-17 17:45:00,2.943,2.9478,2.9359,2.9361,74786.6
2025-06-17 18:00:00,2.9361,2.9488,2.9347,2.9413,58389.4
2025-06-17 18:15:00,2.9413,2.9442,2.9311,2.9332,88266.1
2025-06-17 18:30:00,2.9332,2.9463,2.9331,2.9433,85934.1
2025-06-17 18:45:00,2.9433,2.9635,2.941,2.9629,154323.5
2025-06-17 19:00:00,2.9629,2.9747,2.9599,2.9746,148221.3
2025-06-17 19:15:00,2.9746,2.9863,2.9717,2.9826,188836.1
2025-06-17 19:30:00,2.9826,2.9855,2.976,2.9773,142961.2
2025-06-17 19:45:00,2.9773,2.9917,2.976,2.9811,200991.3
2025-06-17 20:00:00,2.9811,2.9966,2.9794,2.9884,191172.7
2025-06-17 20:15:00,2.9884,2.9942,2.9822,2.9933,119139.5
2025-06-17 20:30:00,2.9933,2.9948,2.9834,2.9918,69058.9
2025-06-17 20:45:00,2.9918,2.9919,2.9713,2.974,175576.4
2025-06-17 21:00:00,2.974,2.9772,2.95,2.9543,259885.8
2025-06-17 21:15:00,2.9543,2.9642,2.9447,2.9636,178498.0
2025-06-17 21:30:00,2.9636,2.9736,2.9583,2.9585,99585.7
2025-06-17 21:45:00,2.9585,2.96,2.9394,2.9482,95359.1
2025-06-17 22:00:00,2.9482,2.9524,2.9379,2.9516,45078.6
2025-06-17 22:15:00,2.9516,2.9545,2.9466,2.9478,52577.8
2025-06-17 22:30:00,2.9478,2.9509,2.9432,2.9491,53616.7
2025-06-17 22:45:00,2.9491,2.9561,2.9421,2.9436,60059.6
2025-06-17 23:00:00,2.9436,2.9548,2.9429,2.9514,20022.2
2025-06-17 23:15:00,2.9514,2.961,2.9512,2.9608,18509.1
2025-06-17 23:30:00,2.9608,2.964,2.9575,2.9627,17075.5
2025-06-17 23:45:00,2.9627,2.964,2.9558,2.9567,18489.5
2025-06-18 00:00:00,2.9567,2.9681,2.9567,2.9674,31307.3
2025-06-18 00:15:00,2.9674,2.9716,2.9611,2.9622,30926.8
2025-06-18 00:30:00,2.9622,2.9793,2.9596,2.9776,32866.0
2025-06-18 00:45:00,2.9776,2.9777,2.9685,2.9763,46362.3
2025-06-18 01:00:00,2.9763,2.9869,2.9761,2.9816,104308.7
2025-06-18 01:15:00,2.9816,2.9876,2.9664,2.9699,87879.7
2025-06-18 01:30:00,2.9699,2.9751,2.9664,2.9705,37696.7
